FILE NAME,FFAR2_20230601_183432.csv
PROTOCOL,Victor Biosensors
FILE_VERSION,3.3
DATE START,1.6.2023,18:35:03
DATE END,1.6.2023,18:35:03
DEVICE,BL107-CX_206EE5
USER,Andrea,COMMENT,no comment available
PLATETYPE,MTP-48-FlowerPlate,LOT,UNKOWN
MTP ROWS,6
MTP COLUMNS,8
FILTERSETS,6

FILTERSET,FILTERNAME,EX [nm],EM [nm],LAYOUT,FILTERNO,GAIN,PHASESTATISTICSSIGMA,SIGNALQUALITYTOLERANCE,REFERENCE VALUE,Process Parameters,,Calibration Parameters,,,,Criterion Parameters,,
1,Biomass           ,620,620,Victor Biosensor,1,20,1,0,100,SET TEMPERATURE [C],30,Phi0,72.82,Biomass Slope,0.0249,CRITERION,,
2,Biomass           ,620,620,Victor Biosensor,1,30,1,0,100,SET HUMIDITY [%],85,Phi100,42,Biomass Offset,-0.9198,FI,,
3,GFP               ,488,520,Victor Biosensor,2,50,1,0,100,SET O2 [%],20.95,Phi.min,54.81,Biomass Unit,OD600 [-],FJ,,
4,GFP               ,488,520,Victor Biosensor,2,100,1,0,100,SET CO2 [%],0,Phi.max,12.6,,,FACTOR,0,
5,UV-GFP/ Wt GFP    ,400,510,Victor Biosensor,6,50,1,0,100,SET SHAKER FREQUENCY [rpm],1200,pH0,6.59,,,S0,NaN,
6,UV-GFP/ Wt GFP    ,400,510,Victor Biosensor,6,100,1,0,100,SET CYCLE TIME [min],30,dpH,0.51,,,EXTRA INFO,,
,,,,,,,,,,SET EXP TIME [h],1193,Temp. Compensation for pH Calibration,False,Temp. pH [C],30,,,
,,,,,,,,,,,,Temp. Compensation for pO2 Calibration,False,Temp. pO2 [C],30,,,

WELL No.,CONTENT,DESCRIPTION,CHANNEL,
,,,READING ->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,TIME [h] ->,0.04218,0.54274,1.04307,1.54379,2.04392,2.54443,3.04498,3.54545,4.04564,4.54599,5.04653,5.54697,6.04745,6.5479,7.04826,7.54903,8.04931,8.54956,9.05029,9.55045,10.05126,10.55133,11.05189,11.55252,12.05275,12.55314,13.05361,13.55413,14.05478,14.55518,15.05537,15.55599,16.05624,16.55668,17.05734,17.55746,18.05796,18.5584,19.05883,19.55919
A01,X1,,1,1.873,1.869,1.902,1.965,2.006,2.076,2.116,2.22,2.301,2.462,2.602,2.766,3.004,3.189,3.418,3.592,3.717,3.922,4.122,4.298,4.518,4.72,4.947,5.108,5.253,5.357,5.485,5.558,5.688,5.687,5.776,5.832,5.874,5.947,5.985,6.029,6.035,6.101,6.119,6.131
A02,X2,,1,1.754,1.732,1.773,1.83,1.91,1.966,2.076,2.203,2.324,2.549,2.75,3.037,3.346,3.645,3.911,4.188,4.499,4.813,5.109,5.389,5.701,5.969,6.198,6.37,6.56,6.488,6.305,6.169,6.128,6.002,5.97,5.969,5.922,5.914,5.88,5.877,5.841,5.875,5.859,5.841
A03,X3,,1,1.724,1.677,1.713,1.751,1.832,1.885,2.003,2.1,2.251,2.445,2.636,2.928,3.189,3.442,3.708,3.99,4.235,4.518,4.781,5.052,5.276,5.536,5.744,5.912,6.095,6.153,6.13,5.962,5.873,5.767,5.703,5.678,5.652,5.6,5.595,5.574,5.525,5.546,5.523,5.495
A04,X4,,1,1.662,1.692,1.683,1.723,1.784,1.851,1.941,2.047,2.192,2.372,2.574,2.845,3.136,3.414,3.674,3.982,4.269,4.59,4.869,5.171,5.458,5.767,6.004,6.196,6.386,6.502,6.341,6.197,6.144,5.985,5.97,5.955,5.916,5.897,5.855,5.846,5.78,5.821,5.797,5.777
A05,X5,,1,1.739,1.707,1.721,1.774,1.848,1.868,2.04,2.128,2.287,2.493,2.739,2.984,3.253,3.549,3.8,4.079,4.296,4.576,4.769,5.033,5.293,5.474,5.592,5.926,5.932,5.773,5.72,5.71,5.697,5.648,5.639,5.645,5.652,5.633,5.637,5.644,5.62,5.62,5.63,5.602
A06,X6,,1,1.702,1.679,1.699,1.751,1.781,1.851,1.916,2.016,2.136,2.305,2.51,2.752,3.052,3.338,3.63,3.918,4.136,4.387,4.608,4.839,5.08,5.278,5.448,5.684,5.754,5.602,5.532,5.522,5.509,5.476,5.439,5.482,5.464,5.471,5.465,5.439,5.472,5.458,5.472,5.462
A07,X7,,1,1.739,1.714,1.726,1.807,1.848,1.868,1.986,2.066,2.201,2.386,2.583,2.831,3.108,3.386,3.638,3.907,4.119,4.348,4.555,4.74,4.931,5.11,5.284,5.398,5.741,5.602,5.515,5.44,5.467,5.385,5.37,5.395,5.371,5.384,5.377,5.363,5.349,5.368,5.382,5.343
A08,X8,,1,1.728,1.727,1.746,1.807,1.854,1.919,2.014,2.125,2.248,2.4,2.591,2.85,3.139,3.392,3.68,3.974,4.208,4.454,4.675,4.9,5.138,5.346,5.558,5.725,6.037,5.877,5.792,5.721,5.716,5.681,5.659,5.695,5.686,5.678,5.665,5.658,5.662,5.665,5.65,5.65
B01,X9,,1,1.967,1.957,1.995,2.058,2.096,2.09,2.214,2.273,2.36,2.499,2.666,2.811,3.074,3.251,3.499,3.679,3.784,3.992,4.183,4.414,4.634,4.894,5.091,5.276,5.433,5.558,5.698,5.818,5.929,5.974,6.062,6.129,6.203,6.247,6.287,6.321,6.387,6.41,6.455,6.48
